[2025-01-23 14:25:29,729][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 14:25:29,729][INFO] params["in_chans"]=[200, 16] python run_model.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 14:25:29,729][INFO] params["dims"]=[512, 512] 温度参数为0.55
[2025-01-23 14:25:29,729][INFO] params["out_chans"]=[16, 8]
[2025-01-23 14:25:29,729][INFO] params["heads"]=[8, 4]
[2025-01-23 14:25:29,731][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 15:16:44,380][INFO] Epoch[23/80], train B-acc: 0.6783(0.6057-0.7534), test B-acc: 0.5806(0.5086-0.6599)
[2025-01-23 15:16:44,381][INFO] Epoch[23/80], train AUC: 0.9559(0.9231-0.9803), test AUC: 0.8008(0.7017-0.8866)
[2025-01-23 15:18:52,274][INFO] Epoch[24/80], loss:1.5885, CE loss:0.4689, info NCE loss:1.1196
[2025-01-23 15:18:52,275][INFO] Epoch[24/80], train B-acc: 0.7286(0.6522-0.8044), test B-acc: 0.5805(0.5126-0.6681)
[2025-01-23 15:18:52,275][INFO] Epoch[24/80], train AUC: 0.9587(0.9270-0.9817), test AUC: 0.8008(0.7005-0.8855)
[2025-01-23 15:20:59,499][INFO] Epoch[25/80], loss:1.5861, CE loss:0.4671, info NCE loss:1.1190
[2025-01-23 15:20:59,500][INFO] Epoch[25/80], train B-acc: 0.7792(0.6968-0.8536), test B-acc: 0.5722(0.4985-0.6550)
[2025-01-23 15:20:59,500][INFO] Epoch[25/80], train AUC: 0.9606(0.9280-0.9827), test AUC: 0.7977(0.7000-0.8872)
[2025-01-23 15:23:07,535][INFO] Epoch[26/80], loss:1.5835, CE loss:0.4653, info NCE loss:1.1182
[2025-01-23 15:23:07,535][INFO] Epoch[26/80], train B-acc: 0.7679(0.6816-0.8431), test B-acc: 0.5806(0.5068-0.6646)
[2025-01-23 15:23:07,537][INFO] Epoch[26/80], train AUC: 0.9640(0.9360-0.9840), test AUC: 0.7970(0.6897-0.8845)
[2025-01-23 15:25:16,242][INFO] Epoch[27/80], loss:1.5817, CE loss:0.4642, info NCE loss:1.1175
[2025-01-23 15:25:16,242][INFO] Epoch[27/80], train B-acc: 0.8256(0.7478-0.9007), test B-acc: 0.5901(0.5099-0.6698)
[2025-01-23 15:25:16,242][INFO] Epoch[27/80], train AUC: 0.9651(0.9378-0.9864), test AUC: 0.7919(0.7013-0.8795)
[2025-01-23 15:27:24,120][INFO] Epoch[28/80], loss:1.5789, CE loss:0.4623, info NCE loss:1.1166
[2025-01-23 15:27:24,120][INFO] Epoch[28/80], train B-acc: 0.8213(0.7480-0.8982), test B-acc: 0.5850(0.5078-0.6669)
[2025-01-23 15:27:24,120][INFO] Epoch[28/80], train AUC: 0.9661(0.9393-0.9850), test AUC: 0.7961(0.6937-0.8808)
[2025-01-23 15:29:31,912][INFO] Epoch[29/80], loss:1.5765, CE loss:0.4606, info NCE loss:1.1159
[2025-01-23 15:29:31,912][INFO] Epoch[29/80], train B-acc: 0.8353(0.7599-0.9027), test B-acc: 0.6062(0.5289-0.6958)
[2025-01-23 15:29:31,912][INFO] Epoch[29/80], train AUC: 0.9682(0.9416-0.9887), test AUC: 0.7952(0.6890-0.8823)
[2025-01-23 15:31:40,016][INFO] Epoch[30/80], loss:1.5740, CE loss:0.4589, info NCE loss:1.1150
[2025-01-23 15:31:40,016][INFO] Epoch[30/80], train B-acc: 0.8269(0.7459-0.9027), test B-acc: 0.5840(0.5144-0.6678)
[2025-01-23 15:31:40,016][INFO] Epoch[30/80], train AUC: 0.9693(0.9417-0.9888), test AUC: 0.7855(0.6898-0.8734)
[2025-01-23 15:33:48,307][INFO] Epoch[31/80], loss:1.5719, CE loss:0.4574, info NCE loss:1.1144
[2025-01-23 15:33:48,308][INFO] Epoch[31/80], train B-acc: 0.8388(0.7708-0.9062), test B-acc: 0.5772(0.4985-0.6570)
[2025-01-23 15:33:48,308][INFO] Epoch[31/80], train AUC: 0.9710(0.9451-0.9896), test AUC: 0.7835(0.6842-0.8713)
[2025-01-23 15:35:56,481][INFO] Epoch[32/80], loss:1.5698, CE loss:0.4562, info NCE loss:1.1137
[2025-01-23 15:35:56,481][INFO] Epoch[32/80], train B-acc: 0.8506(0.7736-0.9183), test B-acc: 0.6369(0.5457-0.7351)
[2025-01-23 15:35:56,481][INFO] Epoch[32/80], train AUC: 0.9730(0.9481-0.9896), test AUC: 0.7849(0.6834-0.8792)
[2025-01-23 15:38:04,530][INFO] Epoch[33/80], loss:1.5676, CE loss:0.4549, info NCE loss:1.1127
[2025-01-23 15:38:04,531][INFO] Epoch[33/80], train B-acc: 0.8378(0.7696-0.9043), test B-acc: 0.5940(0.5167-0.6884)
[2025-01-23 15:38:04,531][INFO] Epoch[33/80], train AUC: 0.9740(0.9488-0.9910), test AUC: 0.7887(0.6790-0.8713)
[2025-01-23 15:40:12,098][INFO] Epoch[34/80], loss:1.5653, CE loss:0.4533, info NCE loss:1.1120
[2025-01-23 15:40:12,098][INFO] Epoch[34/80], train B-acc: 0.8689(0.7957-0.9297), test B-acc: 0.6471(0.5494-0.7473)
[2025-01-23 15:40:12,098][INFO] Epoch[34/80], train AUC: 0.9759(0.9524-0.9915), test AUC: 0.7838(0.6766-0.8784)
[2025-01-23 15:42:20,596][INFO] Epoch[35/80], loss:1.5633, CE loss:0.4519, info NCE loss:1.1114
[2025-01-23 15:42:20,596][INFO] Epoch[35/80], train B-acc: 0.8631(0.7937-0.9283), test B-acc: 0.6189(0.5337-0.7163)
[2025-01-23 15:42:20,596][INFO] Epoch[35/80], train AUC: 0.9778(0.9572-0.9926), test AUC: 0.7827(0.6853-0.8642)
[2025-01-23 15:44:29,115][INFO] Epoch[36/80], loss:1.5611, CE loss:0.4504, info NCE loss:1.1106
[2025-01-23 15:44:29,115][INFO] Epoch[36/80], train B-acc: 0.8624(0.7933-0.9296), test B-acc: 0.6192(0.5315-0.7164)
[2025-01-23 15:44:29,116][INFO] Epoch[36/80], train AUC: 0.9799(0.9602-0.9939), test AUC: 0.7775(0.6825-0.8622)
[2025-01-23 15:46:37,003][INFO] Epoch[37/80], loss:1.5595, CE loss:0.4495, info NCE loss:1.1099
[2025-01-23 15:46:37,004][INFO] Epoch[37/80], train B-acc: 0.8778(0.8055-0.9397), test B-acc: 0.6423(0.5510-0.7327)
[2025-01-23 15:46:37,004][INFO] Epoch[37/80], train AUC: 0.9809(0.9630-0.9939), test AUC: 0.7837(0.6795-0.8672)
[2025-01-23 15:48:44,347][INFO] Epoch[38/80], loss:1.5568, CE loss:0.4477, info NCE loss:1.1091
[2025-01-23 15:48:44,347][INFO] Epoch[38/80], train B-acc: 0.9111(0.8520-0.9636), test B-acc: 0.6321(0.5367-0.7226)
[2025-01-23 15:48:44,347][INFO] Epoch[38/80], train AUC: 0.9827(0.9648-0.9944), test AUC: 0.7753(0.6671-0.8712)
[2025-01-23 15:50:53,046][INFO] Epoch[39/80], loss:1.5553, CE loss:0.4468, info NCE loss:1.1085
[2025-01-23 15:50:53,047][INFO] Epoch[39/80], train B-acc: 0.9117(0.8472-0.9627), test B-acc: 0.6410(0.5516-0.7309)
[2025-01-23 15:50:53,047][INFO] Epoch[39/80], train AUC: 0.9836(0.9667-0.9942), test AUC: 0.7780(0.6741-0.8648)
[2025-01-23 15:53:00,754][INFO] Epoch[40/80], loss:1.5532, CE loss:0.4455, info NCE loss:1.1077
[2025-01-23 15:53:00,754][INFO] Epoch[40/80], train B-acc: 0.8643(0.7931-0.9288), test B-acc: 0.5873(0.5042-0.6809)
[2025-01-23 15:53:00,754][INFO] Epoch[40/80], train AUC: 0.9850(0.9701-0.9948), test AUC: 0.7722(0.6747-0.8655)
[2025-01-23 15:55:08,919][INFO] Epoch[41/80], loss:1.5523, CE loss:0.4451, info NCE loss:1.1072
[2025-01-23 15:55:08,919][INFO] Epoch[41/80], train B-acc: 0.9125(0.8476-0.9616), test B-acc: 0.6549(0.5578-0.7521)
[2025-01-23 15:55:08,919][INFO] Epoch[41/80], train AUC: 0.9865(0.9719-0.9962), test AUC: 0.7725(0.6702-0.8636)
[2025-01-23 15:57:17,182][INFO] Epoch[42/80], loss:1.5498, CE loss:0.4434, info NCE loss:1.1064
[2025-01-23 15:57:17,183][INFO] Epoch[42/80], train B-acc: 0.9227(0.8645-0.9723), test B-acc: 0.6662(0.5583-0.7610)
[2025-01-23 15:57:17,183][INFO] Epoch[42/80], train AUC: 0.9874(0.9727-0.9964), test AUC: 0.7762(0.6712-0.8668)
[2025-01-23 15:59:25,275][INFO] Epoch[43/80], loss:1.5488, CE loss:0.4430, info NCE loss:1.1057
[2025-01-23 15:59:25,275][INFO] Epoch[43/80], train B-acc: 0.9019(0.8354-0.9553), test B-acc: 0.6247(0.5327-0.7115)
[2025-01-23 15:59:25,275][INFO] Epoch[43/80], train AUC: 0.9891(0.9765-0.9973), test AUC: 0.7731(0.6714-0.8591)
[2025-01-23 16:01:33,635][INFO] Epoch[44/80], loss:1.5472, CE loss:0.4419, info NCE loss:1.1053
