[2025-01-23 17:20:06,149][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 17:20:06,150][INFO] params["in_chans"]=[200, 16] python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 17:20:06,150][INFO] params["dims"]=[512, 512]温度参数为0.55
[2025-01-23 17:20:06,150][INFO] params["out_chans"]=[16, 8]
[2025-01-23 17:20:06,150][INFO] params["heads"]=[8, 4]
[2025-01-23 18:12:05,938][INFO] Epoch[29/80], loss:0.4671, CE loss:0.4671
[2025-01-23 18:12:05,939][INFO] Epoch[29/80], train B-acc: 0.8075(0.7316-0.8801), test B-acc: 0.6045(0.5300-0.6890)
[2025-01-23 18:12:05,939][INFO] Epoch[29/80], train AUC: 0.9609(0.9317-0.9818), test AUC: 0.7957(0.6933-0.8818)
[2025-01-23 18:13:52,939][INFO] Epoch[30/80], loss:0.4661, CE loss:0.4661
[2025-01-23 18:13:52,940][INFO] Epoch[30/80], train B-acc: 0.8080(0.7331-0.8830), test B-acc: 0.6287(0.5454-0.7224)
[2025-01-23 18:13:52,940][INFO] Epoch[30/80], train AUC: 0.9632(0.9384-0.9830), test AUC: 0.7980(0.6926-0.8808)
[2025-01-23 18:15:40,361][INFO] Epoch[31/80], loss:0.4648, CE loss:0.4648
[2025-01-23 18:15:40,361][INFO] Epoch[31/80], train B-acc: 0.8112(0.7377-0.8833), test B-acc: 0.6069(0.5251-0.7025)
[2025-01-23 18:15:40,361][INFO] Epoch[31/80], train AUC: 0.9659(0.9378-0.9853), test AUC: 0.7957(0.6955-0.8804)
[2025-01-23 18:17:27,429][INFO] Epoch[32/80], loss:0.4625, CE loss:0.4625
[2025-01-23 18:17:27,430][INFO] Epoch[32/80], train B-acc: 0.8087(0.7355-0.8826), test B-acc: 0.6075(0.5316-0.6881)
[2025-01-23 18:17:27,430][INFO] Epoch[32/80], train AUC: 0.9671(0.9409-0.9860), test AUC: 0.7954(0.6969-0.8790)
[2025-01-23 18:19:15,477][INFO] Epoch[33/80], loss:0.4615, CE loss:0.4615
[2025-01-23 18:19:15,478][INFO] Epoch[33/80], train B-acc: 0.8085(0.7320-0.8836), test B-acc: 0.5937(0.5202-0.6804)
[2025-01-23 18:19:15,478][INFO] Epoch[33/80], train AUC: 0.9681(0.9448-0.9863), test AUC: 0.7952(0.6914-0.8799)
[2025-01-23 18:21:02,303][INFO] Epoch[34/80], loss:0.4599, CE loss:0.4599
[2025-01-23 18:21:02,303][INFO] Epoch[34/80], train B-acc: 0.8102(0.7367-0.8847), test B-acc: 0.5963(0.5165-0.6833)
[2025-01-23 18:21:02,303][INFO] Epoch[34/80], train AUC: 0.9698(0.9457-0.9873), test AUC: 0.7992(0.6922-0.8760)
[2025-01-23 18:22:49,510][INFO] Epoch[35/80], loss:0.4588, CE loss:0.4588
[2025-01-23 18:22:49,510][INFO] Epoch[35/80], train B-acc: 0.8086(0.7373-0.8810), test B-acc: 0.5969(0.5183-0.6819)
[2025-01-23 18:22:49,510][INFO] Epoch[35/80], train AUC: 0.9714(0.9469-0.9887), test AUC: 0.7941(0.6941-0.8799)
[2025-01-23 18:24:37,195][INFO] Epoch[36/80], loss:0.4578, CE loss:0.4578
[2025-01-23 18:24:37,195][INFO] Epoch[36/80], train B-acc: 0.8080(0.7352-0.8815), test B-acc: 0.6102(0.5282-0.7019)
[2025-01-23 18:24:37,195][INFO] Epoch[36/80], train AUC: 0.9725(0.9497-0.9897), test AUC: 0.7967(0.6944-0.8815)
[2025-01-23 18:26:24,018][INFO] Epoch[37/80], loss:0.4563, CE loss:0.4563
[2025-01-23 18:26:24,018][INFO] Epoch[37/80], train B-acc: 0.8108(0.7341-0.8762), test B-acc: 0.6110(0.5278-0.7080)
[2025-01-23 18:26:24,018][INFO] Epoch[37/80], train AUC: 0.9739(0.9519-0.9895), test AUC: 0.7967(0.6911-0.8857)
[2025-01-23 18:28:10,471][INFO] Epoch[38/80], loss:0.4549, CE loss:0.4549
