[2025-01-21 19:50:58,405][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-21 19:50:58,407][INFO] params["in_chans"]=[200, 16]python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-21 19:50:58,407][INFO] params["dims"]=[512, 512]  温度参数为0.6
[2025-01-21 19:50:58,407][INFO] params["out_chans"]=[16, 8]
[2025-01-21 19:50:58,407][INFO] params["heads"]=[8, 4]
[2025-01-21 20:50:07,093][INFO] Epoch[27/80], train B-acc: 0.8213(0.7477-0.8911), test B-acc: 0.5991(0.5163-0.6854)
[2025-01-21 20:50:07,093][INFO] Epoch[27/80], train AUC: 0.9675(0.9448-0.9856), test AUC: 0.8063(0.7053-0.8864)
[2025-01-21 20:52:07,027][INFO] Epoch[28/80], loss:0.4600, CE loss:0.4600
[2025-01-21 20:52:07,027][INFO] Epoch[28/80], train B-acc: 0.8179(0.7436-0.8920), test B-acc: 0.5956(0.5165-0.6854)
[2025-01-21 20:52:07,028][INFO] Epoch[28/80], train AUC: 0.9695(0.9459-0.9867), test AUC: 0.8022(0.7026-0.8857)
[2025-01-21 20:54:07,471][INFO] Epoch[29/80], loss:0.4591, CE loss:0.4591
[2025-01-21 20:54:07,472][INFO] Epoch[29/80], train B-acc: 0.8330(0.7537-0.8972), test B-acc: 0.6312(0.5431-0.7267)
[2025-01-21 20:54:07,472][INFO] Epoch[29/80], train AUC: 0.9710(0.9480-0.9869), test AUC: 0.8020(0.6933-0.8854)
[2025-01-21 20:56:07,196][INFO] Epoch[30/80], loss:0.4576, CE loss:0.4576
[2025-01-21 20:56:07,196][INFO] Epoch[30/80], train B-acc: 0.8307(0.7555-0.9081), test B-acc: 0.6274(0.5382-0.7210)
[2025-01-21 20:56:07,197][INFO] Epoch[30/80], train AUC: 0.9719(0.9487-0.9896), test AUC: 0.7979(0.6900-0.8804)
[2025-01-21 20:58:05,906][INFO] Epoch[31/80], loss:0.4563, CE loss:0.4563
[2025-01-21 20:58:05,907][INFO] Epoch[31/80], train B-acc: 0.8356(0.7567-0.9048), test B-acc: 0.5924(0.5107-0.6802)
[2025-01-21 20:58:05,907][INFO] Epoch[31/80], train AUC: 0.9742(0.9546-0.9896), test AUC: 0.7958(0.6975-0.8750)
[2025-01-21 21:00:05,681][INFO] Epoch[32/80], loss:0.4550, CE loss:0.4550
[2025-01-21 21:00:05,681][INFO] Epoch[32/80], train B-acc: 0.8404(0.7672-0.9063), test B-acc: 0.6456(0.5536-0.7416)
[2025-01-21 21:00:05,681][INFO] Epoch[32/80], train AUC: 0.9750(0.9546-0.9899), test AUC: 0.8004(0.7083-0.8780)
[2025-01-21 21:02:10,136][INFO] Epoch[33/80], loss:0.4536, CE loss:0.4536
[2025-01-21 21:02:10,137][INFO] Epoch[33/80], train B-acc: 0.8431(0.7646-0.9103), test B-acc: 0.6309(0.5419-0.7319)
[2025-01-21 21:02:10,137][INFO] Epoch[33/80], train AUC: 0.9767(0.9575-0.9907), test AUC: 0.7962(0.6988-0.8815)
[2025-01-21 21:04:07,672][INFO] Epoch[34/80], loss:0.4525, CE loss:0.4525
[2025-01-21 21:04:07,673][INFO] Epoch[34/80], train B-acc: 0.8431(0.7716-0.9080), test B-acc: 0.6332(0.5344-0.7318)
[2025-01-21 21:04:07,673][INFO] Epoch[34/80], train AUC: 0.9777(0.9579-0.9916), test AUC: 0.7952(0.7010-0.8767)
[2025-01-21 21:06:04,535][INFO] Epoch[35/80], loss:0.4507, CE loss:0.4507
[2025-01-21 21:06:04,535][INFO] Epoch[35/80], train B-acc: 0.8448(0.7691-0.9147), test B-acc: 0.6305(0.5430-0.7211)
[2025-01-21 21:06:04,535][INFO] Epoch[35/80], train AUC: 0.9790(0.9605-0.9931), test AUC: 0.7917(0.6951-0.8730)
[2025-01-21 21:08:05,667][INFO] Epoch[36/80], loss:0.4499, CE loss:0.4499
[2025-01-21 21:08:05,668][INFO] Epoch[36/80], train B-acc: 0.8618(0.7943-0.9262), test B-acc: 0.6586(0.5692-0.7504)
[2025-01-21 21:08:05,668][INFO] Epoch[36/80], train AUC: 0.9794(0.9622-0.9924), test AUC: 0.7903(0.6953-0.8793)
[2025-01-21 21:10:01,488][INFO] Epoch[37/80], loss:0.4485, CE loss:0.4485
[2025-01-21 21:10:01,489][INFO] Epoch[37/80], train B-acc: 0.8538(0.7832-0.9202), test B-acc: 0.6585(0.5654-0.7557)
[2025-01-21 21:10:01,489][INFO] Epoch[37/80], train AUC: 0.9813(0.9640-0.9929), test AUC: 0.7955(0.6956-0.8748)
[2025-01-21 21:12:06,395][INFO] Epoch[38/80], loss:0.4472, CE loss:0.4472
[2025-01-21 21:12:06,395][INFO] Epoch[38/80], train B-acc: 0.8594(0.7864-0.9202), test B-acc: 0.6405(0.5489-0.7328)
[2025-01-21 21:12:06,396][INFO] Epoch[38/80], train AUC: 0.9830(0.9678-0.9936), test AUC: 0.7858(0.6896-0.8782)
[2025-01-21 21:14:07,892][INFO] Epoch[39/80], loss:0.4461, CE loss:0.4461
[2025-01-21 21:14:07,893][INFO] Epoch[39/80], train B-acc: 0.8615(0.7822-0.9221), test B-acc: 0.6453(0.5545-0.7363)
[2025-01-21 21:14:07,893][INFO] Epoch[39/80], train AUC: 0.9845(0.9702-0.9943), test AUC: 0.7887(0.6853-0.8726)
[2025-01-21 21:16:06,799][INFO] Epoch[40/80], loss:0.4449, CE loss:0.4449
[2025-01-21 21:16:06,800][INFO] Epoch[40/80], train B-acc: 0.8712(0.7983-0.9387), test B-acc: 0.6569(0.5614-0.7622)
[2025-01-21 21:16:06,800][INFO] Epoch[40/80], train AUC: 0.9863(0.9731-0.9950), test AUC: 0.7841(0.6953-0.8734)
[2025-01-21 21:18:06,961][INFO] Epoch[41/80], loss:0.4436, CE loss:0.4436
[2025-01-21 21:18:06,961][INFO] Epoch[41/80], train B-acc: 0.8611(0.7853-0.9275), test B-acc: 0.6431(0.5519-0.7432)
[2025-01-21 21:18:06,962][INFO] Epoch[41/80], train AUC: 0.9882(0.9763-0.9960), test AUC: 0.7863(0.6798-0.8738)
[2025-01-21 21:20:05,804][INFO] Epoch[42/80], loss:0.4425, CE loss:0.4425
[2025-01-21 21:20:05,804][INFO] Epoch[42/80], train B-acc: 0.8857(0.8118-0.9444), test B-acc: 0.6776(0.5820-0.7720)
[2025-01-21 21:20:05,804][INFO] Epoch[42/80], train AUC: 0.9892(0.9773-0.9967), test AUC: 0.7836(0.6891-0.8745)
[2025-01-21 21:22:04,143][INFO] Epoch[43/80], loss:0.4419, CE loss:0.4419
[2025-01-21 21:22:04,144][INFO] Epoch[43/80], train B-acc: 0.9253(0.8688-0.9739), test B-acc: 0.6947(0.5948-0.7949)
[2025-01-21 21:22:04,144][INFO] Epoch[43/80], train AUC: 0.9894(0.9780-0.9967), test AUC: 0.7832(0.6815-0.8724)
[2025-01-21 21:24:05,801][INFO] Epoch[44/80], loss:0.4410, CE loss:0.4410
[2025-01-21 21:24:05,801][INFO] Epoch[44/80], train B-acc: 0.9125(0.8452-0.9659), test B-acc: 0.6734(0.5772-0.7679)
[2025-01-21 21:24:05,801][INFO] Epoch[44/80], train AUC: 0.9907(0.9794-0.9975), test AUC: 0.7771(0.6784-0.8615)
[2025-01-21 21:26:10,670][INFO] Epoch[45/80], loss:0.4394, CE loss:0.4394
[2025-01-21 21:26:10,670][INFO] Epoch[45/80], train B-acc: 0.9348(0.8762-0.9808), test B-acc: 0.6742(0.5789-0.7762)
[2025-01-21 21:26:10,670][INFO] Epoch[45/80], train AUC: 0.9915(0.9815-0.9976), test AUC: 0.7827(0.6776-0.8664)
[2025-01-21 21:28:14,447][INFO] Epoch[46/80], loss:0.4387, CE loss:0.4387
[2025-01-21 21:28:14,447][INFO] Epoch[46/80], train B-acc: 0.9078(0.8469-0.9634), test B-acc: 0.6752(0.5811-0.7643)
[2025-01-21 21:28:14,447][INFO] Epoch[46/80], train AUC: 0.9924(0.9836-0.9979), test AUC: 0.7788(0.6789-0.8690)
[2025-01-21 21:30:20,539][INFO] Epoch[47/80], loss:0.4379, CE loss:0.4379
[2025-01-21 21:30:20,540][INFO] Epoch[47/80], train B-acc: 0.9346(0.8794-0.9782), test B-acc: 0.6753(0.5805-0.7723)
[2025-01-21 21:30:20,540][INFO] Epoch[47/80], train AUC: 0.9933(0.9845-0.9981), test AUC: 0.7787(0.6755-0.8660)
[2025-01-21 21:32:21,737][INFO] Epoch[48/80], loss:0.4367, CE loss:0.4367
[2025-01-21 21:32:21,738][INFO] Epoch[48/80], train B-acc: 0.9327(0.8774-0.9799), test B-acc: 0.6917(0.5994-0.7890)
[2025-01-21 21:32:21,738][INFO] Epoch[48/80], train AUC: 0.9937(0.9862-0.9984), test AUC: 0.7728(0.6743-0.8651)
[2025-01-21 21:34:25,396][INFO] Epoch[49/80], loss:0.4355, CE loss:0.4355
[2025-01-21 21:34:25,396][INFO] Epoch[49/80], train B-acc: 0.9374(0.8844-0.9823), test B-acc: 0.6930(0.5988-0.7901)
[2025-01-21 21:34:25,396][INFO] Epoch[49/80], train AUC: 0.9949(0.9879-0.9989), test AUC: 0.7770(0.6730-0.8672)
[2025-01-21 21:36:28,239][INFO] Epoch[50/80], loss:0.4347, CE loss:0.4347
[2025-01-21 21:36:28,239][INFO] Epoch[50/80], train B-acc: 0.9397(0.8846-0.9828), test B-acc: 0.6759(0.5778-0.7776)
[2025-01-21 21:36:28,239][INFO] Epoch[50/80], train AUC: 0.9957(0.9895-0.9991), test AUC: 0.7725(0.6675-0.8588)
